,current price,original staicker price,% increase in price,site,model name,model year,brand
0,1189.0,579.0,105.35%,eBay,Radeon RX 6800,2020,AMD
1,838.72,479.0,75.1%,eBay,Radeon RX 6700 XT,2021,AMD
2,655.86,279.0,135.08%,eBay,Radeon RX 5600 XT,2020,AMD
3,826.39,349.0,136.79%,eBay,Radeon RX 5700 XT,2019,AMD
4,1320.45,649.0,103.46%,eBay,Radeon RX 6800 XT,2020,AMD
5,476.38,169.0,181.88%,eBay,Radeon RX 5500 XT,2019,AMD
6,273.31,169.0,61.72%,eBay,Radeon RX 570,2017,AMD
7,224.57,99.0,126.84%,eBay,Radeon RX 560,2017,AMD
